INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('cba641ac-9458-49ad-bb8c-2ab4225cd162', '7934e6b9-1c78-4cbd-87a2-446095d41e40', 'endbsnjlb31DFQeWcQeYDJpNaogQS4qMN6iWRLn9', '0'),
('28523f48-989c-43b3-97d9-0b5c659b8fcb', '97f883d5-9f8d-4a85-a77c-2c2a2e3f7c76', 'XvqMuGpsKwiDEg6cOIfHzyix201ckEFISjKgO1la', '0'),
('fb061bf3-0101-4b0d-bcee-4b59278348aa', 'f35dd25b-ea23-4fd5-95ec-37cd68927e96', 'PtPUGgDWRoq93BORJ5qzr8qrQfpHTo6sdVgFhtIX', '0'),
('dcb00804-da9d-4681-aaf1-672201513776', '37dd5dcc-44de-44a9-9097-5cbaf10fbaf1', 'tyLmLquiv72Sr1hFJMcBRdhQEfcQHvu2vF6qQRnO', '0'),
('b793bc0a-f757-4255-9ba9-bfc2352fcbde', '39e1a100-1040-47a8-924c-d8904191e8d9', 'kM7YSrjOGihRDOgqi25A8p0fvqiAm1gNZ40NAwne', '0'),
('cd5fe3e8-0d6b-461d-81d0-e8c72a5cda56', 'b04c63b7-ebb3-44c8-bfae-450c23c23fc4', 'FV9nZQwOGATZHsiLspSHGPhC0Rr5EVmg7mpVbCcq', '0'),
('8ee348fe-f958-4cd9-ad7a-9068322ff9f2', '04672b15-380a-402b-a345-5367b3f0806f', 'sdM3iNaMnU4Ts075yKoHugYKvu5joGWO6dQ2dL1a', '0'),
('dccedf97-294e-414d-b918-5a4834fe1503', 'e0d9c72f-cc4d-4af1-8ec2-04cc7d1e3a02', 'By4YFX9t8NOkiDFZZdRbqagfpIH11N9IxBSwUkvT', '0'),
('f14352d5-6d1f-4053-8bac-90f324afc7e5', 'f25b64b5-f553-44f5-9769-36e7c23b590f', 'FOWo2ymYXoTQyUGdZUvgdJiRBBOTn1KnxDKdUqBi', '0'),
('9a85605f-5d7b-4905-91f0-7ea9ce684c80', 'fc1f5cdf-54f6-4ed2-ae07-f8d0ea1bf6d1', 'FDScU0BIq7ewGJ0VQ66sTphGx1O3DWKUuFlPGyQi', '0'),
('91f31d5d-105b-4294-b069-b7ea3836283f', '90a53ccb-439c-4280-906a-79a7ba704507', 'rznXLvnnkEhsiKLEawfIfZ8t8sEQKDVvkHFFyXUU', '0'),
('f7ae5cc2-36d3-4336-bf1c-c194f712053f', '59a5ebd6-f569-4d35-9aa7-f20708af25f8', 'G5u2sKCdZAErvuTsuULUFrX7uz6MKrnpNvEhwluL', '0'),
('2d71da48-147a-48af-a4b9-b4d833264e5c', 'f0f54d72-e125-4fbf-82ab-3eaab42faee5', 'ANxS4hVJRgj8Tkhac4jvTJK148cAqtTCIvczJPrm', '0'),
('1c3134ea-33fc-4e66-b41d-d6ee7c3bf499', 'f559b305-bfa3-4ec6-9ee5-29e73791c4ba', '8hNgxmMegnFfiKOptZkKPlVzDJsA2nVypPR2quVA', '0'),
('39bda322-be36-4b3d-83e0-cc05d46053d8', '12e8e5fb-4285-430d-91be-5b51f15cdb59', 'HzzixaJtsGCfNonqlsKbJHwUdkIL3Dp29ikTimgp', '0'),
('de8f508d-2edd-41e5-a9c7-aec8d1937cc5', 'dfe7eabe-3bcf-4ba0-8d5c-e7a38ff6e3c5', 'BHBfqee8gxMfXSCFJQX2HgCm69rf8F829pkm84Wj', '0'),
('6d567081-bd4b-4d9e-ada5-cbd53d9305ad', '8cd8a72d-3cba-469b-9d78-c355e2a48378', '49YZLOQPBRjoTJ4ZzJDFh7UD3FBCP5dBr0HjD2OA', '0'),
('c7df5c29-99ab-4261-9d62-7de6ec18af29', '6271df34-6cbd-47b6-95e7-f4917c8bcacc', 'qnmYhu32dz7G2m93IehBkaQUu5BPdilNREtGg0C4', '0'),
('c1b92b07-afe3-4c6d-932f-029b000d197c', '36762843-9847-488a-bfdb-ec7ae0d6962f', 'jmVvcveek6EdS7U9tsXrrxTpzXPJrTCluDozFrbO', '0'),
('b5b7b6b3-6d97-4122-8d90-7869f5c1bb4f', '045a5f99-2612-4f96-a026-4a8dc8140e38', '6IBuGwnPr4cBVTVYbRa598vHOJibixcAyUGR6dE1', '0'),
('424ecef8-c732-40f7-9987-8b1c01b48e9e', 'e4137750-ee3f-4a00-a061-2fb17c5ebf06', 'ADqh5jLoGQ4S3SUNuXMpo7HfUuevJvaV2C2Yidva', '0'),
('61749861-f49a-4caf-9375-0b88e9592534', 'f7583020-52a6-4467-b247-2bd56774c75b', 'ffjzips8uq9RQnLuK6YneU8J1SQcIYXmeqSN6mEL', '0'),
('74ef7eee-1c18-4035-b2e1-63fe697db29d', '94bed0a6-b88d-4927-bbf7-2842c6ee94f5', 'NkZAGw5ZCz1EtQvLVgIKbFcvQvtSyETOXaV7RWrQ', '0'),
('c3908772-7db6-4e9d-960d-404b6763e765', '9590dee1-5a48-4ede-9ceb-63f9e7a916d3', 'w67cEv3z2BImQCAGRQ06K449XwH6q9ch6HOZ994c', '0'),
('7a4dfb7d-9e8a-4e28-a6c8-fff0317b89e6', 'e0c0584d-a922-49e7-b23a-17a4272e1927', 'y1LwaWid8zybauaDHYNJBs72V2BbsDaCIFqFbOSU', '0'),
('b4bef925-a373-4e31-baa3-fa41330cca29', '84dd9c41-421b-478c-bbae-0033aff54590', 'YI1GsNOPeJfXScPBj7Im0GkQtawDhP2hPaJZIjv5', '0'),
('45df1dd8-4ffe-48df-bda8-3145179d166d', '78abb18b-24c8-4bd0-8e64-1957b336cdf6', 'oUYgSdVjpiE38BGmSQTlvEG4XTnhUKxQmpaExJfk', '0'),
('2ee3be59-cd29-4925-82ec-335479d3088b', 'e0c6c8f7-2a3e-4add-bae8-5134d58a648e', 'UsfW2kpxUD3777xtwUjl0cHx3GM3zwHNdXGfCCHy', '0'),
('ebbe93ff-53e4-4903-b043-6f051e4d989e', 'e58f6cc2-323f-4a4f-9893-c4501e38b6b4', 'K08NHFAbdRQaOK7vbNRITyQzaJiAqKF9gymS0BMf', '0'),
('38ab3d23-08bf-4066-a026-274aac561aed', '4fa70e16-54f4-4941-b100-bfdbe3249be5', 'bH6ICbFI4pQl5vFloC9KnfGJqTGib2gQq4uV8aTj', '0'),
('f76984ef-e747-465b-968d-84e11aacdfb6', 'a7fe02f5-83fa-4192-b561-27df40bdb5c4', 'hiqFtKzwHcvrsS0bRlMpwFROKaGjuZuQDDBdYPJH', '0'),
('70f21d6e-ccd8-4a58-bd6b-aea4417c3d29', '40513a91-d7b3-4290-85b6-c7f5ef4c2605', 'LyYDAzncbC0gjTpDn1qD7zheEVLo3oA638c2Dkx4', '0'),
('6d695cbc-b3cf-4930-926a-36d61a3b6605', '6d0155dc-990e-431f-9121-f512c573a978', 'w1jQ5cdm63NjFHr8GRpkvS1zPzj42w3Sixvv6Vtp', '0'),
('2dfb08ec-ef07-423e-8cbb-bb0ab2f96b65', '70ff2934-f745-4b47-846c-5d82ad0df408', 'fc4PBj8cqhhdgacdl6zub18pMIyCPfxyU5oTZZf3', '0'),
('b910ab08-695e-474b-b992-e4942eb1af60', '7e84b0b9-6e5e-434f-88c6-9149bc232dc7', '4qsrPkAMDOe0WCbY8tg1P07c1VROmSjvEwbuSmrC', '0'),
('04634441-73bb-471a-8c59-cac9069c2261', '4f24afdb-fbb3-4a73-8675-afd9a9c1b0b3', '2tiSqBcKXmkpDP3zBctsQpzyhwV3cw7nkwy9VvHG', '0'),
('8aaa5f06-6aaf-43bb-a9c3-0e61be8b1aac', 'c787e5ee-3352-4a16-9047-226f93a94ac3', 'WJBz9lQS4v3fSXMzgpVNc4fVCufeXIOhcqlhRL6S', '0'),
('fa5ac768-33db-401d-9d72-f2cbcceb3e1a', '114744ca-7b15-47b8-b86f-2dbd2af2cb72', 'N1xPcFkguCUwKUfDExjfCa2IaWpvYdXfdaSEJzV8', '0'),
('d319e7ac-2e92-495c-a51a-1e5e9443645a', '63fe020c-9850-4644-8983-220b64318eb3', 'Cv1IrLIzGtXoaT56VK7leb0DHsqBfbVlp8E0jfnt', '0'),
('b16cbe02-1e4c-478b-b25d-38ca9f264950', 'd8c4f90e-01db-4270-b7e8-0236e91370b8', 'LyugWBnxubxFJsCdS3jj0QqwRnMOKDvbxharuE6V', '0'),
('3f337c88-4494-4f4b-b2d4-741ac7087919', '63f5b63e-350b-43ee-b173-864734adc8f1', '9dT8jhX8YsUacG8mIP6SIk1L8RVsncZ54t3czcnb', '0'),
('362ccb09-e73e-40f8-8794-9cb9fe4e56ae', '1b097e8a-c770-4b41-8416-1199a3fae3ff', 'VaopuHB0LvRcvuO0wWOW970XvOSHals47TV7mxCq', '0'),
('f461a2e5-f6bd-4442-8521-147eeba4fa12', 'a0545013-ae28-4dc6-a417-55598f766dfb', 'yxUtH5Yo4BrU5UQMZQeCj3N4eKqb7dKvuGrQUBuC', '0'),
('cf560c5b-357d-46df-8785-6d49b074fc9f', '2d9e698d-de5c-4618-9a5e-48be78b7bce8', 'k4iqcsFWbLueaAkLVcO7tpCgT1LFiBOau6hcWP6I', '0'),
('d783d90d-866b-47c8-be6f-5313ed151f62', '691afce1-938a-49b3-ba1a-aeeca2f67202', 'DQlhAWiIv8W9V7Z1MIXgKNuqXyKg6bmitiU4FDrF', '0'),
('2ac70dea-8d04-4fb0-bdaa-1ae33b1c24ec', '1cbc3bec-974f-4bb8-be02-29af8b1d95f7', 'buVJcHWyLzHeQQDqExexvZJrZdg09qXqQUhJ1747', '0'),
('49ce64e6-2e79-4e79-bd2c-18b659ae01c2', 'bc489f10-affb-4297-bce9-18e51f25cab9', 'C0U5QIPtSIdTyqint7LG7oh0yGoiMi95Axdv8gLy', '0'),
('4d148fb5-b319-495c-9799-f9ffa8bf2861', '729317e4-08f2-41cd-9b00-4f17f882a919', '338DLfqOTbW1JREEwArdoXi43Ps0tvFXGnb2tmPi', '0'),
('a559cb4a-5d1d-44f2-823e-32958e0c4edf', '9d52acc8-4f21-4201-a148-8da0572c70aa', '50DucYFAhT102tsNnKLkP587n1aLnouUk9wx2URa', '0'),
('3f481b95-3ed8-40da-9146-061c3a1c1ede', 'fe7b368c-43b8-4269-9e58-5e73a4d513b3', 'pf4K7Kr6jz4DTu1Y8G9KvPHlmiItPnjkbAwqveoW', '0'),
('c7952761-e1ce-4fd0-9a13-2e6132fba1ff', '0064c3f5-3567-4422-8bc6-99df3a6f8c80', 'owaKaglocvQKYVb2G9JaAiEi15txBrwpZHPJb46B', '0'),
('e5a01b0d-2f23-4e4f-9911-f3fe4ab46519', '246bb1db-37f5-4bb5-9507-4c784fb0041c', 'KWBDGyYaAtZYFHOfUlvisTMwwCL37XieRNgUeLoi', '0'),
('a6ea4202-b15e-4d0d-a6c1-c523406f3516', '1f45a237-1b09-4c98-b0f9-a8c71cd52f21', 'GXbFhzqB0TP7fbBDfl82xr1zSN71FCXHgPYDCUSm', '0'),
('0f4814c2-e3a5-40a4-baca-91ca1d35f8b4', 'a11cfaa1-1731-473c-a5ac-8383d6f7e0ea', '2egk773oum15mutPzHcD2AEWCLLj5LXFqGeZKyjB', '0'),
('fd609dd2-320f-4934-8bb2-c51f0b95f225', '79160f64-b87f-46db-af69-7bdd434f5c0f', '54kFJlFiSzh6nFwPCoBNpYQmMZxmvBLCGObXI31F', '0'),
('830e3b2a-297c-4ab9-8589-a75d3d172f91', 'b1c03340-4c28-40c5-bbef-7677b5df9ab8', 'o9u91HMm1kZpPz55Nv40buU4qzQHookg04vCJb4n', '0'),
('a43fd175-5d92-46bf-a14d-776892ac9e5c', 'd04e6470-09b7-4f99-a314-41fa7152bead', '7NjKwKRiXK3N5qDXTPc6TOpE2bHzzAj8ZRanem6G', '0'),
('5ec611ae-4415-42c9-aaca-9bbbf2273a76', 'b2920545-daa4-427d-bf68-197736026a7d', '4SqKxfCjPQybtWaXC3jFS7kK7U05BrGrJywDvCYC', '0'),
('f21645cc-9cc9-4999-a920-d943250ca491', '0ff81b20-6ba8-44f7-82c7-b1d4d9553b9f', 'CfNZfDHd3Ri4nMzi70pvp8cmzgTEQyBQVfZDQoRS', '0'),
('2c8d0068-6ea1-4acf-9455-edd55ce894ad', 'd0ceaed9-eeeb-47fc-84dd-148b8cae1729', 'yggWDSity76bRjOF0HnVGJ8b1i7BAYc4XDaSUAo8', '0'),
('22c0adbc-5ed2-4f93-a33b-4a0ab2ed55b3', '2d9abac7-8e0f-43b0-9126-a308bed68e6e', 'hCASX0GTYJ4vKMbgo75N1jnIHGZXK3hvP3KTa9J2', '0'),
('27ee6a81-0e5d-4fec-97fb-18a4a468d991', 'fe36424a-5e3e-48c3-b3e3-f2d19ec02e77', '9VMrTsBZCqivFfasuyhXT71IAKTU7JGfyKYgyIs7', '0'),
('e0bad058-212d-4669-8692-6ccfef5b4a03', 'e918ce57-eb76-4318-81ad-5350f6b4e8b1', 'iYKGiaqyMxYaVqAtVPRTK1QzhYnTJ84kgvJhq4Cn', '0'),
('1726d686-f4b9-46f3-a869-c3ec18087336', 'fa032274-2451-4e87-a2b6-5fd25f1abecd', 'MozBKk81jvyEui5JKG6lG2W9mTpvJDz8OG86kChp', '0'),
('5335dd8c-f9c8-454d-bf2d-2107d513d932', '4b409b31-77a7-4d0f-abed-09b9846d9dfe', 'hYF8VklWb7QR7zE5sH5fFTS2PcKQqqbssik6fuUE', '0'),
('9b6edc07-d7cf-4efe-8384-bc9051053348', 'fc70977a-b150-42ff-ac6b-7baeaf017f85', 'zTMitGOVa35D18PImwWMLbq4vrLnfnsjxX8OQajo', '0'),
('61d58fbb-f91d-4e7b-8962-8585b138b041', 'bb81af37-2cda-48b3-9dd9-cbd128b4b590', 'BZ7Wa0livXZ9vQrIZxvdvpv95XipFsIjd3KM2KXr', '0'),
('90a764a3-b947-4487-9f17-06c2d37542dd', '4fee88b8-9b03-40ea-a394-f9b15e854c6f', 'ZcZezLQRTTvBFUXfxO9Sbk7h1ebmL8uzyItdgeGc', '0'),
('3d2c2e93-1f65-4585-a43f-177ec326e4b7', '25f218fa-aecb-4f6f-b5a0-1220f1a1633f', 'lRBPglp0bJDrgALObQQyGB4AIMhcMjEyF10q3pFl', '0'),
('375ff4b3-5fda-4952-aa60-e6cb4d74fd93', 'a0fc4b17-f0bb-466d-a97c-901159969077', 'Py2JD5BELjGLXiiXPqvaRyBwfFpVIsEzag46VGoy', '0'),
('35037c21-1e66-439a-91a9-0509b26caf3a', '032d9761-f4fc-450e-b986-139d34e1cb70', '2LE2Hx8b0UwScA7j9psfed0W7SLMz8U9Rh9xgbYn', '0'),
('ec6dea93-2b48-450c-bfe1-4b0907fe8cec', 'cc351096-45ff-4e7a-b9bd-540bf8907511', 'xGvZQkCa4MAOJZgJSs7u8Qz0hB9Bn6DzZh3FAQ74', '0'),
('1fdae8c8-7f80-4968-9c0f-9d997e8511c3', '28b368ae-6ec2-461a-8d91-e09f299c853a', 'PJAuI7aA0r27UJnhT3STx0ryiq8JUakzn8gRQVbM', '0'),
('ee89693f-14c7-4146-8bf0-f8a5e118a2e1', '1ca6583b-1a11-4595-a3a8-2629a275cf53', 'wQgK2y9iQwjnDYOkqk5h4G1yNmMM8Q3lLH0PuG5j', '0'),
('4e0298ac-e471-461f-8e1c-cfffe05ef51e', 'c6a48e4a-edaf-495a-84ce-8353b785d6a9', 'LvXnEAOrIEXaC1V5XnsN2Gponxe9i3FFPR9oggTO', '0'),
('86b54f65-3318-43a6-b6a7-ff8e93a3e3b5', 'af7ea7a9-df0c-4d24-94e1-ff5ebabca338', 'sultNkI94GpqTyhivacb7FEKvtGEp8vzUpjUQfmz', '0'),
('cf13133b-80f8-4bd5-b52e-9724a48e1708', '4a4330ba-15da-44e0-9d2c-a4333460fd18', 'FRRaWUg5QKXwKPtXt62RdTwGse21G1uEz4fYmLLt', '0'),
('3f559ca0-e51d-4c3d-a843-908b80029a33', '36e07305-c038-4d26-b2a1-c9a42f0a879c', 'tEuIKOZm9UDkR64X4EIOOt13rR6xonVltR8H01J1', '0'),
('dc6ca326-8c89-4b19-97f1-2d60fec977e7', '98013291-ead5-480a-bc9d-29c103b78015', 'ZEqLlnucPqw3LOUL17ELgPE6SyphhyDTzYKYUMSM', '0'),
('db904bdb-8a63-41f2-8a38-8c51e77afc89', 'a902ab01-1f8a-4b63-8187-ecf50045ee14', 'It9dcyVfGvcuOnJddfBTz7MDapkO3F5hcfQDaM41', '0'),
('7c9c25a8-cb5f-4793-aba0-7709222e914d', 'ceb4360c-71b1-462f-929a-2cf338b96e15', 'VUIEm8pKXClMjrU3riuOww7C4OHIlkI2xHIGDVSh', '0'),
('bb3c2606-a235-47f1-83fd-ffc04446d2c1', 'bd02f18d-96b3-4e35-a8f3-bad50adb5e19', 'X1c9rtDeVuPtGfgzUfjarw99pBmgXvq474yUIYLg', '0'),
('9861da09-b79a-4b20-8f59-990a6e0844a1', '10870c12-517e-414d-9bde-fda6f45dd61e', 'qAuMb64oUiFdmtBiYToAssKyoMt7ryYYfHGPSEhg', '0'),
('e3055887-9409-4c9c-86a1-94fb3383afc5', 'fc886295-16e8-4205-9222-67f39213eb8b', '5COw3RcXbYeII12lazvKgmn93pidPxe3ytSlgFQd', '0'),
('c9d28b8b-f60a-468a-8819-4859fad2486d', '6f9b9f2a-3183-48fa-a289-ddebbe5bb2de', 'QtzODOBepN9d9BZSwL9dYL4XSoEKiJIz9GubH06a', '0'),
('d891cf32-3910-4751-8a1e-0df4e7987919', '77f04a29-c3b8-4c00-93b3-551877b65cc8', 'waMEtwJ3PJiGz03mFHEK4yPZz5RG0NtGTRMT0o64', '0'),
('359eced7-bec2-45bb-9f50-52e7c41c713e', 'c5566ade-aac2-4895-be39-d052fa1651d5', 'x75z25gRE5Q1Ek3De3xijH5m3SeHbwMYWLmsX3fC', '0'),
('93926243-cdcc-436a-a5ad-e942cfed1fae', '29dd3844-ec46-4735-93e6-9ec7ccd49b5c', 'vnFyyqJQwk7ijDnN6RJEO1kPmINgRzTXuaxfiwdr', '0'),
('140cd0c1-52f2-442a-ae9a-ec8b78751255', 'fa1cd39a-47f7-4775-8b62-05f25aac10ad', '4uBCUHh0g0r0hMREOLxCmEYyswd6fcvlRDKjQmPp', '0'),
('20d9af1d-8eb0-45da-bb27-a575554b4941', '35cae3f5-4f1d-47a3-90f8-e52818a42fd5', 'qPnhPtadM4SjtdOCS4be7LCJQ84vuzH7QKehp9w8', '0'),
('750997d7-7ce9-4ea7-b623-95265cd07535', '8453afe1-f5c7-4fa9-b8be-388a4353e0c4', 'NPnMxYCzARYAWm4LqeRF5SufNynrUx9lAihA1qMx', '0'),
('daeeedac-2f53-494c-8778-8c5807098555', 'a5456916-f8b8-410b-bc19-f4dcb7046350', 'tNhgRMG0XL3IhPqAaACHNqvliCjDrNAmQfnkVlhY', '0'),
('b949d43b-7f9c-4f36-863f-8a25531f7240', 'f66c7bea-b71d-4dac-bacb-17dafecb709c', 'TsV6zDeMCTdwwmuqAGScyo9ySNW08J3MJh6iQtrM', '0'),
('bfacdf9a-6817-492d-a4e5-7d1e0e38055c', '0626f63a-411e-41fc-9047-92239d7ee1f1', 'OlQLnIaHgRKjYyh2kcZRUr1bzQAU4Zeu5wANTfWN', '0'),
('08ce0d95-21ed-40ad-8573-d49b156e4ccc', '1571e42a-6aed-4a41-8be6-15c4ca68c8ee', 'ha0IZOVeLUrGKaAmjZcQk3go4vcQSeUgBsjspESB', '0'),
('17c5d9c4-d80d-4b16-ab08-682de65a3f46', '1ab50aac-bc6e-42c5-8e72-2f4540833f92', 'R46mackOc6YvUWERfQmlYkND0xoWsMR7JxfufOYp', '0'),
('009e0726-5758-4d03-a0fb-4b8473473f7a', '67f3438f-df3f-405b-876e-122b691dc983', 'nFKJIwf0NAT2YlrwD6vTK1eYL7lXSmLUIaZZgu0v', '0'),
('dcb0ac6b-1d4a-447d-bb04-88714f77ec0f', '10ffc911-3ecf-4caf-afbd-6a4af95c6881', 'lIX6kcnRkkSXSMf4ltc9tEZE49mkVZv3Gxy761XQ', '0'),
('1bc763c7-aa9e-4a69-ad00-a440136712a0', '49736c76-36c3-43ec-b4d3-95b7c61d7921', 'bpL5MIo82pZe6KwfRR92krxqZnJdwTUKNjEhSLHN', '0'),
('a56327cc-7a54-48a6-a7a9-d66ef0e784b7', '430675c8-6e27-4c1a-b454-3ea4f32ec67e', 'XSqIUKNuJQtallc9b6ldXTRiPdew5vLDK9VNEFap', '0'),
('ad82af28-8e29-48b9-8953-a0dd2a7d58b1', '800fa11a-6a8d-4642-b268-bb93d4c1bb1f', 'N51BsiKXrd5K6Ny3lQM9Jml2VBaGmmd18XdsUdYR', '0'),
('ae3f09f0-ab07-47f3-b23a-f7d5780d2ddd', '4913d24c-1fce-40bc-9470-706537037540', 'WJPRne08qIiMlWXtpGUu5yJCkuRxuAlAXi37gkOF', '0'),
('9f8a958a-eef0-4580-8ac2-df4209678300', '8cc37112-407e-4328-9e47-35c6e918ca38', 'WyfIIsUhOFitvUMS52SmNN0aujOahhvIKQfS5lU2', '0'),
('84d3083e-0dd9-4728-ae57-815d5acb428f', '88ac6dbc-d10b-4246-a323-3ffdd9874271', 't41RTbFjSIluE5TXrQUg82mosV1lTkrGXJRVuqAr', '0'),
('a7a078ac-a974-46a0-924b-a25dbcefb74f', 'a7cc3494-2515-4dbf-91c2-18014637e761', 'lgerFd03PsP8p2FmqWNhcvB7ExH13hYXRGgbBKwq', '0'),
('20eb8e8e-0071-494c-be4f-568722081206', '0f01380a-d9f6-42aa-a276-44eacf740d25', 'VeOvnoPdVad4Qo9WqJFtODyB2cU80ybftN9pcDHV', '0'),
('b754ddce-a250-4d9e-8113-4c6ca90e6715', '612fd60d-2651-426d-9964-7b2a3630c273', 'jj339QPBSMPRWAxZv0rUpWOwAtU3G0cT7GFC8Acj', '0'),
('98e37b91-b8af-48a6-937f-053947a090a5', '7b91a325-9598-4792-b710-5a0242e01585', 'E8PCCIZsDAJU7OsCg9py5xQ1xc8hVcpAKWGcbN6L', '0'),
