INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('4f59f6be-861b-47a1-a47d-ec70ed1b5981', '0a4d7ae6-969f-449f-b695-4e5553c7654b', 'HluuQqpp2DEFTx2Kqb2AQzfLl5GI2ciO3wsO8YC0', '0'),
('e2beb8e8-e112-4a5a-a29a-8214b76cba17', '10d817ca-d5e5-4cb0-80d9-4ba11965360b', 'JRZaPUsa5OJEt1nRMVl6De6ur7woFb52UMYU4nNB', '0'),
('f37a87a3-5016-4a4c-a210-b6bec5f47a29', 'f38456d3-2a31-4827-ba26-0d7f6c137611', 'FbWp1EVBGqcscmUD1unXJJkYPY7s1VYvkvqTEsxT', '0'),
('87ed9f8a-f61a-4fe5-961e-8f16caa1a073', '6fdc8179-8b44-4928-8379-66d8efbaf934', '9SInh5mubkoe5C2yDN17PjqrnEcXB9pNLRu8QpyA', '0'),
('faf83460-66d8-4c93-8a96-cd82e5d44fad', '5c716f46-a1e0-4cfd-a613-c3fabf4b2586', 'e4aPhQSBBTe2Szs0hdD4C61yB5LHVMt4y8KNaWGh', '0'),
('b9fa40e0-5229-454a-8986-03a43d880533', 'c57309f3-110a-4272-973d-89b616ab761c', 'I8umiESlm3q6XY6ehjXyepF0bp1uUM7jrvhh4m1I', '0'),
('a804ec53-3864-403d-8def-220270508796', 'db851185-c7f2-49f6-8994-22a5be06904b', '5v8gH8jSFimr1DyJ091xOuIIzpta3uHE73CRx27o', '0'),
('62c3b9cd-35ce-4f8a-96b8-f00870facea9', '1313850e-f36b-47c9-ad4c-66f6e4afb1fa', 'qzRv12ERnNUdSuJ9oAcpgJg9VFiDEFRaEXyI6qn3', '0'),
('1f86c3ad-e99d-49b2-8693-1147d2bedef0', '54ab9df8-5db3-412c-bb6f-e515a77993a7', 'dStjXN84Jy037h6f4LOMbDgLhSEXiZsEsBEb8hoR', '0'),
('c7570a97-2d09-4c39-a803-6a053e6feabf', '0a7a6fc5-aece-4ffd-82f2-e263dd66efcd', 'hgIxdyHV8dEwNzvSwJjAtjsm6gIoVu5DiIGh2iXX', '0'),
('03446574-3fcc-4c81-918b-51368e13dcf6', 'c15c8280-d75e-47cf-af6e-e1f11f418454', 'FcxVfHxwqzwa8htLFZEciCxMtARoVLTa2xwp0sf1', '0'),
('6d52f685-17e0-45ac-9f36-4895dc50a644', 'f65915e1-2249-4fed-a810-1ac7ba048ae7', 'kCbUufUrt12dmQaJ5UcksIVMJlkCsQgeHrPoFXPo', '0'),
('cf299f72-94d2-48f0-b6c8-97cd11304771', 'f58f37c6-aae8-41db-83d0-638f12d9b9e1', 'PGsiDTgyX63QpJMcKchnJA88cG0tA6NA037mz6R4', '0'),
('31a8ad97-39f9-49cc-bf53-a0b1d8c30a30', '2208cd08-a7fc-4726-a31b-4cd85ef9097b', 'NjyzTsKAxGibFOZKYB9n9APrv7iWTCYIvD4rvm0t', '0'),
('91777769-65ba-402f-b594-debd65e69b75', '0936ac39-3181-4d20-8877-a6a1bc2ea87e', '7VmDf073efgfjjkXTetYTNFvT1d3MHufZAS8wwvO', '0'),
('572fe6d1-4a31-4939-968b-0d14d0140fb0', 'b1b692de-8366-433b-b3fc-3244b8b1ad09', 'NlkLIftrPpeNO5z3PdcY9z4lZCSFhXNm4iR52fi6', '0'),
('dc563b3c-2bd3-4228-8ada-a74bcc23dea8', '788304f1-4685-4b79-a9a7-69ea55cda88b', 'eyd5tlmbC1AYcOUN7kA0Nw94PgsJXW2ZE6ZzfVGv', '0'),
('7367ed63-66ee-4094-a447-4b67b7492906', '3299bcc0-3388-4f9d-a960-d2efd6d95994', 'YxpxdVHDER22aVRHo5OuuF29L2IY36fauidWjZjG', '0'),
('2658107f-e389-4e7f-bdb5-58462ce71ff8', '1143cd06-5614-45d9-9d5c-c3d22fdb5039', 'h9MCfzXrHDtBk5MCp9k1jHfG6dKorTKfnSw3GT3T', '0'),
('f4872c51-83c9-4b99-b438-6bd96c8f3a3d', '9478adf7-1008-44f3-9811-f9d07b014ed2', 'gQ4MCa6xohKNd9zT4BvTPINt8ndob6zjOxC3oMim', '0'),
('db841a69-33d4-4611-a259-887ab95b5778', 'fe682c00-4b8f-4272-ab63-aaca0da81cfe', 'goM6GdxZxUKRQtqyCRlpJ9rZPxojBAOiM5fnUyzh', '0'),
('4f28c19e-8f11-49b6-b1ca-3d55e241064b', 'e1b2a43a-d328-4bf3-a083-ec614c5552b3', 'FnKM4f34PSMZtXSO0MKFXHYjAePg0wJm2rPtDg7S', '0'),
('ec87727f-3e9e-44ff-83d2-e4e1f7770a8a', 'e681d79d-9ef2-4140-83c4-c8c0a83f5efd', 'sLnBTdLRmd2F23Awo9k7PecGB4WTMglaVzPSKoYY', '0'),
('03f8f3c3-c46c-4a9e-9fe3-852f387f109d', '8f70f0f0-9d16-469c-8ed6-b151b41eb793', 'TW2H3E85fNr1P5V71KoZEy83JHewsUkTQa7GdOTd', '0'),
('b11f8e6f-dc89-4b10-afa3-1c5d99ce3ba2', 'f19aab77-30c3-415e-93ba-048ba01b7eee', 'vpCK9XDOewDYDRodck51pcPVXK5twnvOXFb96U2h', '0'),
('d4f31321-df8c-4e0c-857c-15ca49a64480', '3146b60e-9340-4bcf-a2e4-fa52a0a2d40e', 'oPbF7GaEdyEImBq0W3I5JNs90yLhqQkzFTBQ9UBF', '0'),
('c02a6672-2af0-4517-aa14-7fbff5f43d25', 'e91bf5a5-1d99-49fc-8931-314bc7c4f0b3', 'O9XxesV9MVVsLa1YyAu7PJ0WakHiKgvWttsvPtDs', '0'),
('988480b8-6b65-4465-863b-186b2376d988', '20ff7fed-7c91-412d-a5ff-d0f1aa264dec', 'Gm9vVrcH4LjyERPDUvpfaFcLAAIUF34q9cu4ab5T', '0'),
('8e1bc4a6-c834-4826-878b-79e8387d4463', '67a0aba6-b06f-4e76-9f48-387ead680ad9', 'ay4bp3figSZxzjdpyhKG6PmCRoyJjDfQpIJyG1I1', '0'),
('7c6f6635-2906-40ac-a3b5-cf23f8806ffe', 'f5addfcd-8ae4-4f14-b1ac-6732d58a6332', 'LpoRaE1h1xCzTmtUMtnOKiH5uXDRQyZpOWT5WzWk', '0'),
('f5b55a7f-de52-40a8-82c9-0ecabbc10edb', '354267d0-5380-4325-b00c-13217c18dfef', 'sEQN4ixTmhICglYmt2CDS7Pn1wilEHdksV9y7eDZ', '0'),
('c923d736-e62a-448e-a35f-f1c09b259128', 'f81721d4-2c3b-42b7-94fd-97bf1ee88b3f', '2tpqtZScsO6TOV41KQEhwXOadPSgW4NTXGJTrp54', '0'),
('2efd50d1-e056-4131-a217-4d8364551455', '6affc1ad-1abd-4909-a001-ebccb5403b64', 'we9lKurJecMUAMyU303IQVD1iAT6o0yhrxKzgxyT', '0'),
('2c087d1e-e576-4b29-b526-0364798c86e1', 'bc94cf4e-039b-44be-a3a4-ef2231f50ad4', 'ajFD73EIYMoGwOsW4Y0yaLvWuIz5GqnfP6SCR3kt', '0'),
('69071b0e-918c-4486-8492-93bcfe1a5317', '6d807943-3217-48ec-9797-1ae50f2905e3', 'bVUyDh8ggcn0jgt2xkYTXBUNHgDgJaIc8DgMOqor', '0'),
('b301cdb1-cb89-414a-92a3-6b112f13b704', 'a71ec59a-b1cc-47bf-99ff-e47beaebd984', 'S7uVIQXxaxNC05KH6inNLZLt3JhgoLEZz06oThzX', '0'),
('4b244b2a-1964-432a-b820-b2faa8a80d22', '3c70b410-b830-4eda-9d45-680ccd2b06cc', 'kuI7JqhPBa4HESCUDWvMe5YFRFf1mQFw4dwZfAsh', '0'),
('dbe27c12-d27a-4921-9157-b36b3f0d1a33', '75fe6386-ad42-48a6-8ca7-00ccc33e0fc1', 'xiozQsKATUePVbvxRnJRXAKuxo4J45AmaTnOIpBV', '0'),
('7063ae7a-b80e-4582-8495-1b8c7a268e9b', 'fc71ca2a-6e34-48e0-b9a3-85d9b53b3935', 'abhEi0ccGaaflQq7yZdZa1jeRl52n8SUrEKn0OOf', '0'),
('da8121a1-84a9-4c23-9ef0-c8ef9832b0e4', 'af89d1df-24ae-4e9d-aa52-3f59b04277cd', 'RsKtm6a1iCoszLLa7YmY3m7z6sK6zEOtvL1ob8HK', '0'),
('0517e28a-a417-4b40-ae3c-8fc857488b9a', '7d7db24c-1f7b-456d-8762-9f6e5c40395d', 'KY5XmFhQzO4D6e9VaRkEdkz3uGqr0f2OL5Bno4Ps', '0'),
('0a41d3ab-9c2a-4265-bfd5-a91c4139b3f1', '75f682c4-15e2-411b-9609-9bc1ef00fb31', 'XeJFEbTXSBPdifwW0grD9BRRhsGQteHRoRNER6sU', '0'),
('65ab3dfc-b2d0-4785-87c4-1e6d8cf244a9', '92ac6580-d541-4c8e-94b0-4812ce4e40e2', 'YoikPsxADMKzG0iZQv49yeoVWbaAj5L3eXOhJiBi', '0'),
('b4470a76-c005-4311-a376-3179500eb746', '97877060-fedc-4b6f-b016-397091c11f99', 'm22NnWwibgqMaZCT5Yop7Oi63dqsgOSKqIWAw82u', '0'),
('5a68781f-c853-4cba-8f79-4eb54f3403e1', 'e7f04cbc-8320-4416-a221-eb1d82a0a881', 'MX8krzxeH8z8vPq7U0ulmroNueQpfp7nt3RKuvgb', '0'),
('fc49f790-df64-4503-86c9-eeb0fa568087', '3878011e-a824-4e26-a0b7-d23a5f66bab8', 'rRZDPXjNaJHDLUCSa3uTpvETmO8Hbe5C6RSYCZwn', '0'),
('e57e6269-cbdc-4c99-b3c1-1bd4b23b93c1', '3f03974e-f976-492e-95fa-60eb9d58067d', 's92ubqrcfAfQkwQD4kjhBKqlZi1Os9FoW1yS930c', '0'),
('e235af18-d70d-41b5-a2b8-7d218e21138a', '8b8da9c6-ccf3-48bf-9ad5-a51f36d8e4c2', 'JfsX7jubgUevJY3BSvIYFfF2MTUGnvo1RJzVPyZV', '0'),
('7178c137-5e61-4dfe-80a3-57fe202f9449', '0f42f432-dd3c-436d-88d1-7b296712af7d', 'BTLiNg1qbOhaBqA4F8TaGQ5itKIzklSXRVPRV8Ht', '0'),
('7179973b-1bf8-4b62-bb33-b29c15a01622', 'f095b382-2046-4b55-b9ca-3769d89cf305', 'BNhsa4ymxGq5d0TLn7PbnVVoQ0oX5bHtK6zN2Oxv', '0'),
('3f8498e8-1cf6-4cc6-b68e-f2729cce9767', 'a0f444d3-70ed-4b27-86c3-a1f1360d3e84', 'OAFSisMfqGFplj7CG2OR1EbH2ljRNeADCi7eRwPf', '0'),
('ca14f7d6-9301-4f93-87d7-821a8e152592', '1224d415-0227-44f5-99ad-c88dba742ee8', 'hwWTsWfGOW0pnJqpvUQqo9WWPBKzlNprSL4HHQBh', '0'),
('6975ce39-5704-4d41-8402-c6f43a8b60f1', '3b0eb7c6-25d5-456d-8538-1fc24ccbcd24', 'usm0Nea3vLmOmib1I4GyKPsSljTGxWflStGB88Cc', '0'),
('b49c48e7-8475-41db-acd0-421c4f27cc77', '27e3a1e8-6618-4f23-ab1b-609aafed8b6e', 'Sz7VR87U9e0weweoOOYF5YIBtj9MrNGk76QFBwsz', '0'),
('efc1b0cd-8cb3-449e-bcee-0ad8ec54888f', 'd02dcb42-1e7b-454a-a839-de625d96a779', 'epzukjJWrRvtyvWzFJmVfc0kgTgnrHydygH5R5GC', '0'),
('0d2a6e3b-a625-4f99-bc1c-142b6800dd6e', '35c8e4fa-4aa9-4812-9158-4bb44df94434', 'ckbrY5mnrcUL1gtCNA51DcsPL5bLAVWXyfuhvBaZ', '0'),
('e3a47993-8310-4214-a708-61830c05dca5', '3fea69eb-2dca-4da3-b6da-20cfeb60e7ac', '8x3rmhpzT8lqRbQw5tqKNFIEjRk8ghri1s52d1Y7', '0'),
('7d71a06a-703e-45d8-ab98-cd85250778b0', '8c209e95-a08b-465a-b98a-023963a4ce82', 'o0auLkZb1fV7IiktdIrVmrrTtI35hGlb2Vm56fI5', '0'),
('62ab81bc-3591-4c2b-b585-a66397872145', '0f2ad234-eb11-49aa-a4f7-51a4faf44426', 'TKvCVUEt8xHUlzzH0BXT7M9aJmwqOBS7hvGa5UMn', '0'),
('e47992f0-691d-4f6f-9f12-1881e9215d34', 'f3cbdabe-f54b-4d69-9b6c-546293666d0f', 'IJ6dMunqvLCDlmp1si3KPu4CfkwMKHgpGHh3yWKt', '0'),
('3efda782-563b-4e56-9bc8-eaa21de9fd1b', 'e46b3cc9-ac31-471c-8099-4ea11285424d', '0rrEPO5RFjewCoA6bkZFuPhRTFmIHs4Q9q8ZhwaC', '0'),
('1f2790e6-00aa-4fce-a6e5-012c454caba3', '51a10ff2-892b-4328-a330-317c38f24734', 'Taj3Kcs1q3DACMRYCqCgDldR1HwZYhKoMwd9rCW7', '0'),
('c75ad5f1-88ce-4fd6-96a6-6cef7c7c52f2', '4406e4c2-416c-4245-a0e9-aee046a1713d', 'iBhPpiMZaZPDlJzZMp7WmBW6KCiQRog3UqKHYwI3', '0'),
('584f832a-84e5-4da3-99ef-8af244585fb1', '13e48407-a35e-42a3-8947-fc7e8eaa972b', 'h1Xxb52MRY2aYYrVnBEinyOSTMU2RgghOkS3jmFr', '0'),
('ccd0e291-2a0c-4e3b-8956-2877ed8cb37b', '093317b2-8428-45d0-92bd-526f6c660615', 'sfacM3wjGqz7LzmksWxgqiocflr1yhsSKxU3nkVF', '0'),
('bd277214-d3c0-4718-91e5-d9c68965f4f6', '7e6865b7-1fdb-4085-8f04-313e89278e60', 'vjBOxy9s9O5LmcBBQnyyEarMXhpqOXqJHtbnFT03', '0'),
('abb26f29-bde6-4bb6-89da-53df8d643d52', 'a2af2520-9ae5-44aa-8a7e-14f9c0be555a', 'IyXfy00hVMuMG1H5EtqzRmFTNIkrpbNoCqB3ihyZ', '0'),
('47877ad1-2f0f-4d2b-969a-d7478588752c', '88ec9009-50f3-4bf7-8791-17103c876ef7', 'my6Wh1YPZWSUukyl9O5icDY2AdQKUbPcwVcKO7sN', '0'),
('97f37a4d-ddd2-4a22-902f-4386c618318b', '335cb308-4c1a-4146-a1ee-8b75a9f389cc', '5XJPrDxVn0334woqMklBpH6X11ciHb8dOBSTffUV', '0'),
('f79f574c-5fa4-47b5-836e-1c9d7d1ff0cb', '1a0f881f-684a-4470-813d-d2ed613ffd44', 'enomU41CaIQQhchz0AFfDuhGR5J6fquSRK3p3NBE', '0'),
('0c10d9ee-f938-436f-94e8-f7940a29352b', '019bc94b-d4f8-4166-b3cc-96234e0d7a51', '1IY97hJIzxNdSQNjp2gTo8H0yVrhtP5auZspLlJQ', '0'),
('ff2ad001-14e3-4c31-afba-4ba87c2af1e4', 'd64b72b0-a95b-4047-8eef-93326b85c9c4', 'wgXOourKh8aLHL5BbIgodZMutZYnq24fgwZVaKcq', '0'),
('838d65ff-eb37-4717-8840-7858f1c95769', '5a4fcc72-179e-4d04-8f59-9906cd78bd10', 'zgZUyurSSPlKUxRFVXp21mVMm63R1kA4uZ1oePYP', '0'),
('2b6bf624-b000-4c0e-a91e-2c349b22245a', 'd9e0330c-7832-46aa-a4db-ad06ef1c3a2b', '3gddlHovcHyBNDmz8ttagCgaG2aC26205omEXGw0', '0'),
('4ef341c9-e9e8-426f-999c-85d94b8ffc66', 'cb0d9bcb-b735-401f-980e-6d4aa5fc865d', 'L14AhpaJdBtFP3h67SsBHLhljWcuESKVrLL5tflv', '0'),
('9d68e4d6-eed7-40ed-8483-00d14041da79', 'ff9f07f3-c80a-4403-b6ee-659b785cf63d', 'Muw0eE56cpahg5vWZXx5w3953NJphxyCQhvyKkPZ', '0'),
('94bd8ed9-e034-471f-8b25-e927d5d1d3dd', 'e3a4075f-6c31-4636-b989-bde6ee5f9c99', 'X38ffEz9YdpfsPyzBIljVA7cU7DRAD3AUhmelH6i', '0'),
('1cfe1d09-fbb2-4063-b9dd-bc6b3613a6bf', '876a96ed-2d7c-49d7-9416-1671ae236e7b', 'FqOarGfRMPnSGIt0RhtmU8HEiBKjwRxonMA2ppt3', '0'),
('c062453f-2acd-4e1a-91d1-3c62107a09da', '32c0145e-7a77-48bd-a841-272ff40a8e2a', 'BzWEi0UhONFmr6uidlBhSJvBeHQt4E8C4d8vgQU8', '0'),
('de83f2b7-3eea-4780-b317-5add990c5462', '17496be7-db42-4171-86e7-e0c29f2c5042', 'jS8IZ6jLzLXmJEVJKoGpfxxCgGBa7246kZhivZ7Z', '0'),
('ba2767c6-439b-4b58-8b37-653b74352502', 'ac3ac525-616e-4045-839e-4efec30a2110', '3RN0oAhwtgg9KMHSjgvdipKweJRUVwdk9NbnLo7U', '0'),
('4c0cadd0-a2b9-4da6-b8fb-3d6d7a587a02', '4e24ce49-a62e-404c-befb-ff9bad0300a4', '3A2MPkr6LgHRg5C2zlD675bMBEmM8eAn2iwUqG30', '0'),
('2bcf8eb7-4195-426a-a5af-e5b864367fb7', '52cb238d-8ef2-4465-a6d2-b727d0b9c156', 'ObDpJ9YbWIA3iq9f1YiHzSdZZ24CbPlUSyvxtf6T', '0'),
('ba479f9c-aa34-4167-8ab1-8ac05f0a1564', '3bbd04dc-2854-4c00-8b1e-02044cde15cb', 'CQcadT0g3OoaYqhStpkQHHQOSwfWvoNIgl9WaU0L', '0'),
('07aa85c9-9f3e-437e-a7fe-e71042c5726a', '9f82f172-ea91-4f6c-a8fa-bbb8894c4358', 'ogzMI7MJNdUrjjJMQC9S9f0JSZtBwgwcPUR9LZ8h', '0'),
('f95fe429-fdcc-4314-9976-fd8f77ecf87a', '0a53f293-cad9-448d-bf89-a2da753fa4d7', 'E5Wo8il9jH2rdjUz6vm85sYV95oQx06m0IgElCEo', '0'),
('b2a68154-1b02-4790-ac10-e2de0e0b4b6b', '09a66e87-ec17-4224-b261-a684ccefc76f', '0HDC1RheaxvtImBXFJcrCF1TZW1U6AXCj26zlFA6', '0'),
('0ddb4750-fe4c-46bf-a6c0-99c3bfba395d', '0430edc6-8127-4637-a07b-70be514a94c9', 'OOqgNMwYZQjpgczKCz91saEhy6qo3U1duuxOT63f', '0'),
('a1b2ce0c-60ed-40e9-8626-9f6fb105ed94', '6181b7b4-2c5b-428c-8c94-c55205b33690', 'WXsh68MSYI4yFpr7qAS9lHiPu1eHMtgf4U6a6RHi', '0'),
('0088ec8c-dc53-403a-bfd9-8fc4b0722fdd', '249e4b6e-e699-4e3e-9a4e-9e9d4e098e09', 'bkQhjMaJRTYxlWRkhOKKKD62vxKwOf5H1Evl6Mb3', '0'),
('31ed0ca2-67dd-491c-ab32-8298b3cd6684', '6c0b627d-f7ae-46bd-904e-d8eaf55264af', 'YrloG2PtPFGzJKuEjitqWIoiZmrG86WvyElD4caj', '0'),
('2b5e2404-0c08-46ef-8759-1b8488e43081', '57272b25-c537-426c-9e7d-830fb71d7bcf', 'AnJrADdkcOUes3nXdI1SukX4eb18ByQ8uGlsygKm', '0'),
('1f66c396-2306-4b1c-809b-c582597964b3', '8e9d6e1f-e353-4424-b338-717f992de4dd', 'Cpsx63jV1HgeXATK7DMx5FSQJ7k1C26II1a2i2aC', '0'),
('ebe2376c-9ebf-485b-ad5e-7ea5b4412314', '78ae8d1c-74e6-44ed-a776-4e855e40a6ba', 'XweVbXNOBa61PbVWlWqfYVmT7OQcLLjf6SqrSygN', '0'),
('16eab442-dc7d-48c7-8570-7a24b50d5507', 'c52fdc65-05c3-4898-88f1-2283586d712c', 'Ii9CjBQEOB9UVf7R0407Q9PGNAh3euGTaglPuZtt', '0'),
('17eccead-759a-464f-bf20-c54652feb7ca', '4ba31583-73da-43d3-89bc-c2011fe774c8', 'CjUUexUfduEEQphp7mkGOenhd3QK5dABIj417RU7', '0'),
('ee2cdcf1-c01d-493d-9feb-5580f7d67895', 'fc872732-f244-4f1f-8068-460aff6727e0', 'PDNANe09UFauzwYwJnOxJJzwaCOeI2RcOAcXeR52', '0'),
('7fa9bec0-9f65-4657-acd2-8f98933db51d', '9d4f4302-e2f5-41fa-8155-8e8c35287a75', 'XmOVkSeiYDu2gHi1ddL5vGYPTRd3mgHiHLUCJI2c', '0'),
('c66c0405-df4e-4c4e-ac07-3cc7c06b5bc2', '14d51c44-21d5-4af7-a998-8fbd63201c6f', '5w1i7E2cxhf68IrdkjfPoht57vJWZE1McI1Cbjmh', '0'),
('3b564666-e005-440c-b39a-3a2fa73a6764', '3de9620c-730e-4538-9392-50f0dbb3cd8e', 'rANRK8gm4TzXGS094fnvoONeKUmJMXo57MhYiZlw', '0'),
('00944026-ba8f-439d-b2cc-2c9f27c939b9', '78467103-aebb-4b6c-894f-030c9580861c', '249fpic14Vo4IEohp17dDKaOVJzeL2p7BFXeHobw', '0'),
('1b5618d4-da4f-41bb-9532-4185acb4c27c', 'c6dec1c8-56a8-4645-95b1-2a35cb9e40ee', 'lwIAgogyAturX8ggiIiSKLaCCVKo747HtIPN7EZ7', '0'),
('0c98ab91-f8bb-4112-845e-843515ca60df', '24444130-6861-4e58-8682-8fb514aa5583', 'v4JkXDxNFJ4tIcagzm8aDQzhrBag0Xba0wYv5j3R', '0'),
('f0245cdc-406b-411d-b653-08247f212e3b', '2e62591b-efd4-4952-aabb-f2fff6248a7a', 'do6LOYPFZWgaHaFt4zlUzCWw7CAB9f7I1RcKCi2I', '0'),
('858cb01b-882e-4c7d-823c-83e178d361aa', 'd5117a71-9570-4eae-ab50-38e00dc1fc33', 'HzX1OOyXCVB5XjihQTigNmKwbSU7TwbBJO3SelZS', '0'),
('5709d14f-d9e0-414d-aaf1-e1be73a785bf', 'a6d4db46-5f62-47ba-aa81-622f67831125', 'TGos6ln6IA6Y3GUSrZ3lfX96cuMKPf8RWYwADe7V', '0'),
('49789d74-2527-4648-8a62-e7e9ce864ca9', 'a8626a02-dcf7-4361-9534-809faafca2b0', 'Yl91XbCACh0ujxnTsVaHYaoZixl6AgRTkc8ba9yn', '0'),
('9699e2ae-a14a-435f-aa7d-8440e4ffb679', '29ff72f6-a4f9-4d3f-a3d5-ea474b5365ca', 'qr6I4gHF6HEbLCP7bpuXuuffNmJ5NapRKDmfdNuz', '0'),
('f2e1fabc-e5a6-40fa-b288-ec5ea2c18d03', '80e51c14-1268-452d-be85-b7ab9f7b71be', 'uluhSKpXcX69LK67EadCIj2f9r52SVZmhKHyIZnL', '0'),
('836368c1-9c61-4293-b001-474a59e93450', '5391328d-bba7-4629-9bab-9eb40a7d3dde', 'dAUNXVmHqxFLNAjUcki6lrHyBnNyP0Og6M4LLGNI', '0'),
('7ac52645-c9c9-4429-9f81-e10f758796c6', '280322bb-12a3-4637-84db-a677f2c594ab', 'gO7YxeYcwhpg5l2JzFqIgBjSiAYbiqVRilhNK4Ua', '0'),
('8c0ba9a8-7393-4ae9-8fd3-d88a688a0cd7', 'ce52415b-16e2-466d-8525-ce692b82701a', '1xVYlTBLhOVr3w7sZW9mhYpcyY7InFrqv7epryLb', '0'),
('ecb1bc0d-9e85-43fc-8514-d8b7a1641de9', '955dc874-fb81-45bb-8c0f-da5be3a47a0e', 'XxTd2l0KIXuDoJJWAf6Li2KRZfPty9XGFNfajdrP', '0'),
('7fc5ba9d-9f6b-4d70-a652-9ded07eb0ab1', '4bb54028-dbd4-467b-a045-4c5b41282ff3', 'lTUhHtUHG9sxTjJREOZAcigwUpXbnVZSwVi4GO9l', '0'),
('9b138920-f30d-4d06-9349-0fbc7707d28d', 'de1317c6-30f7-41ae-a1b8-f3bce6006bf0', 'OWaBlyO0xJ9u8TK5KSlj8J5OULELrvd8T8bVmUlP', '0'),
('9df2b1a0-d220-4412-b243-9bf264872035', '23cd5eeb-fa9b-4b84-a011-9782f706c296', 'HhDlSIRsZsVLqpgcsU5reJmDYrBOeaEBlOfLH2GA', '0'),
('182e2c42-bd42-4007-916b-e09d8969c9af', '849b63f4-003c-420d-b2e5-8a8e59fdcc68', '8p3zoUgPsk5rwhuymtjh8osr5xWWgHc7QWfgCdZe', '0'),
('8338e600-cb77-4ef3-8087-522889d6f3ac', '65a90f1e-6c07-49ba-abe1-cb4b50eae254', 'B04Em6kQHSQJK8YSZgYF7Z7GlivdNbSvb0jMmooU', '0'),
('1c346625-1880-4851-93e0-a4d0f84b970e', '700dafae-50b5-47ea-ad2a-e8533589d831', 'qW3et7blIvORzqDOSSZs7oPh9gGOg497G78km7ZT', '0'),
('06f75582-82ed-455e-8a09-b616fc47ab6e', '5913a7a9-2c83-4fcd-8903-09d54bb937c6', '6lUgSieYbrgd5haGAJk3Eu35PzTKDDEG6SuzNR4f', '0'),
('4b1cbfbc-2035-458f-bde2-31eec314a520', 'c8c52800-ea28-45cb-b3be-1452ac206c4c', '45wJbIKrJv9A1Lh5xiZzz31ccVnSqkpuEfjgbERx', '0'),
('d39a7bb4-029a-4469-9157-7cae541abbf2', 'fe1bd8cc-73dc-43dd-80d0-87ad37dc624c', 'pnutO85suz9qltrAx7XNur5Gc8B7r4oH28SCccSf', '0'),
('7c40c257-cf7b-4b40-9922-357ac3379546', '57ea726f-2a2b-4c7c-b9bd-ed694e9b9df5', 'SEDHf2azdnCd5FfeJ9yhvfvXc3MVdTbKtivNYIpk', '0'),
('c1e5a536-8736-4750-89f9-a80d0e22e7a3', '2276ee2f-8a00-4a77-8602-7e11108f9eb2', 'LXVIdZMLTNJe8r6GuGGBABHRr6J1LzCiu1hsHB7n', '0'),
